JOBID;JOBNAME;JOBGROUP;LEVEL;DOMAIN;PRE_VALIDATION_JOB_NAME;POST_VALIDATION_JOB_NAME
J01;analytics-job-files/tb_regional_hrpa2006_analyticssec;1;1;rule_hr_4;;
J02;analytics-job-files/tb_regional_hrpa2012_analyticssec;2;1;rule_hr_4;;
J03;analytics-job-files/tb_regional_hrpa9801_analyticssec;3;1;rule_hr_4;;
J04;analytics-job-files/tb_regional_hrpa9816_analyticssec;4;1;rule_hr_4;;
J05;analytics-job-files/tb_regional_hrpa9850_analyticssec;5;1;rule_hr_4;;
J06;analytics-job-files/tb_regional_hrpa9852_analyticssec;6;1;rule_hr_4;;
J07;analytics-job-files/tb_regional_hrpad25_analyticssec;7;2;rule_hr_4;;
J08;analytics-job-files/tb_regional_hrpat001_analyticssec;8;2;rule_hr_4;;
J09;analytics-job-files/tb_regional_hrpat002_analyticssec;9;2;rule_hr_4;;
J10;analytics-job-files/tb_regional_hrpayrlarea2text_analyticssec;10;2;rule_hr_4;;
J11;analytics-job-files/tb_regional_hrpersarea2text_analyticssec;11;2;rule_hr_4;;
J12;analytics-job-files/tb_regional_hrperssarea2text_analyticssec;12;2;rule_hr_4;;
J13;analytics-job-files/tb_regional_hrpositiontext_analyticssec;13;3;rule_hr_4;;
J14;analytics-job-files/tb_regional_hrt005t_analyticssec;14;3;rule_hr_4;;
J15;analytics-job-files/tb_cl_hrt022_analyticssec;15;3;rule_hr_4;;
J16;analytics-job-files/tb_regional_hrt023_analyticssec;16;3;rule_hr_4;;
J17;analytics-job-files/tb_cl_hrt024_analyticssec;17;3;rule_hr_4;;
J18;analytics-job-files/tb_regional_hrt1002_analyticssec;18;3;rule_hr_4;;
J19;analytics-job-files/tb_regional_hrt502t_analyticssec;19;4;rule_hr_4;;
